# Generated by scripts/generate-notices.ps1. Do not edit by hand.
#
# Every package NuGet resolved for the desktop application, with the SPDX identifier of its
# licence. build/licenses/PackageLicenses.targets checks this file on every build: an entry whose
# licence is not in allowed-licenses.txt fails the build, as does a package that reached the build
# without reaching this file.
#
# Format: <PackageId>|<Version>|<SPDX>
SQLitePCLRaw.core|2.1.11|Apache-2.0
SQLitePCLRaw.lib.e_sqlite3|2.1.12|Apache-2.0
SQLitePCLRaw.provider.e_sqlite3|2.1.11|Apache-2.0
SSH.NET|2026.0.0|MIT
SvcSystems.UI.Terminal|1.0.3|MIT
System.ClientModel|1.11.0|MIT
System.Diagnostics.EventLog|10.0.10|MIT
System.IO.Hashing|10.0.3|MIT
System.Memory.Data|10.0.3|MIT
System.Security.Cryptography.ProtectedData|10.0.10|MIT
Tmds.DBus.Protocol|0.94.1|MIT
Tmds.Ssh|0.23.0|MIT
Unicode.net|2.0.0|MIT
Vanara.Core|4.2.1|MIT
Vanara.PInvoke.Kernel32|4.2.1|MIT
Vanara.PInvoke.Shared|4.2.1|MIT
Wcwidth|3.0.0|MIT
XTerm.NET|1.0.15|MIT
